@id,name,amenity,`addr:street`,addr:city,`@lat`,`@lon`
1866502248,Pharmacie Centrale الصيدلية المركزية,pharmacy,Boulevard Mohamed V,Fès,34.036761,-4.9978456
2328748922,Pharmacie Filali صيدلية فيلالي,pharmacy,AV Obaida ibn El Jarrah,Fès,34.0400364,-5.0057261
2328748925,Clinique Al karaouiyine,clinic,,rue imam ali fes nouvelle,34.0397083,-5.0046747
3718016810,Pharmacie Rcif صيدلية الرصيف,pharmacy,,Fès,34.0607842,-4.9730652
3899915428,Centre hospitalier universitaire Hassan II,hospital,,,34.0036766,-4.9637961
4606353707,Pharmacie Irchad صيدلية إرشاد,pharmacy,HAY AL WIFAQ RTE AIN SMAEN,Fès,34.0091704,-5.0299565
4681620692,Pharmacie Basmati صيدلية بسمتي,pharmacy,,Fès,34.0165709,-5.0335195
4698968089,Pharmacie Lablida صيدلية البليدة,pharmacy,شوارة,Fès ⴼⴰⵙ فاس,34.0665469,-4.9713274
4711448391,Pharmacie la Tulipe صيدلية لاتوليب,pharmacy,طريق عين السمن Route Aïn Smenقامة بسم الله طريق عين السمن,Fès,34.0155439,-5.0204776
4711868990,Pharmacie de la Liberté صيدلية الحرية,pharmacy,Place de la Résistance,Fès,34.0452085,-4.9969331
4711934790,Pharmacie les Palmiers صيدلية النخيل,pharmacy,Avenue Hassan II,Fés,34.0394593,-5.0015078
4711934894,Pharmacie de France صيدلية فرنسا,pharmacy,Avenue Hassan II,Fès,34.0429619,-4.9987649
4712385991,Pharmacie l'Amitié صيدلية الصداقة,pharmacy,RUE MED FASSI 221 HAY ADARISSA,Fés,34.014454,-5.0096513
4712445890,Pharmacie Bouslikhane صيدلية بوسليخن,pharmacy,LOT AL WIFAK AIN SMEN,Fés,34.0094085,-5.0261096
4712508653,Pharmacie Acima صيدلية أسيما,pharmacy,CENTRE COMMERCIAL ACIMA,Fès,34.0296079,-5.0105717
4724813489,Pharmacie Echadli صيدلية الشادلي,pharmacy,lotiss anbra S3 45fin rte ain smen fes,Fès,34.0078033,-5.0322131
4725748199,Pharmacie Allal Ben Abdellah صيدلية علال بن عبد الله,pharmacy,Avenue Allal Ben Abdallah,Fès,34.033564,-5.0069404
4729539594,Pharmacie du Maroc صيدلية المغرب,pharmacy,BATHA,Fès,34.0604344,-4.9817913
4730950544,Pharmacie la Criée صيدلية المزاد,pharmacy,11 QUARTIER AL AMANE BENSOUDA,Fès,34.0005071,-5.0434417
4738031421,Pharmacie Bahja صيدلية البهجة,pharmacy,Boulevard Mohammed 5,Fès,34.0389152,-4.9986734
4738681626,Pharmacie de la Santé صيدلية الصحة,pharmacy,Avenue Ismailia,Fès,34.0128456,-4.9854532
4740427422,Pharmacie Idrissi صيدلية الإدريسي,pharmacy,DEBUT HAY SAADA RTE AIN CHKEF,Fès,34.0267254,-5.0034341
4741642523,Pharmacie Debbagh صيدلية الدباغ,pharmacy,Avenue OUBEIDA IBN JARRAH,Fès,34.0428163,-5.0038728
4744887621,Pharmacie et Laboratoire Al Amrani صيدلية و مختبر العمراني,pharmacy,Avenue Lalla Meryem شارع للا مريم,Fès,34.0421156,-5.001262
4746773124,Pharmacie Moulay El Kamel صيدلية مولاي الكامل,pharmacy,Avenue du Prince Heritier champs de course,Fès,34.0365542,-5.0084996
4746889021,Pharmacie Mimousa صيدلية ميموزة,pharmacy,20 AV . Prince Heritier,Fès فاس,34.0326314,-5.0123203
4753542728,Pharmacie Zemmouri صيدلية الزموري,pharmacy,RESIDENCE NAKHLA RTE AIN SMEN,Fès,34.0185021,-5.0190467
4757649122,Centre Belge de rééducation et readaptation,clinic,Avenue Egypte,,34.0446041,-5.0028179
4757773462,Pharmacie et Laboratoire El Karaouyine صيدلية و مختبر القرويين,pharmacy,Bourmana derb kristiani,Fès,34.0210364,-4.9929013
4759451623,Pharmacie Jnane Fès صيدلية جنان فاس,pharmacy,rue Akhtal ibn battouta,Fés,34.0304772,-5.0051309
4759495424,Pharmacie Oudghiri صيدلية الودغيري,pharmacy,Rue Al Baroudi,Fès,34.030867,-5.0078186
4763995654,Pharmacie Assalama صيدلية السلامة,pharmacy,Rue Jordani,Fès,34.0451989,-5.0029903
4772565121,Pharmacie Route d'Immouzer صيدلية طريق إيموزار,pharmacy,Avenue Roi Houssaine,Fès,34.0196299,-4.9959536
4774537683,Pharmacie de l'Hôpital صيدلية المستشفى,pharmacy,Rue Mohammed Diouri زنقة محمد الديوري,Fès,34.0392486,-4.9936096
4774547551,Clinique Slaiki,clinic,9 rue abdelaziz benchekroun fes,,34.0390525,-4.9937218
4778565322,Clinique de fez,clinic,Rue Abdesslam Serghini,rue abdessalam serghini,34.0432026,-4.9965422
4788557121,Pharmacie Moulay Driss صيدلية مولاي ادريس,pharmacy,lot kenza chapm course,Fès,34.0336413,-5.0189835
4788557323,Pharmacie le Palais صيدلية القصر,pharmacy,HAY TARIK A COTE PALAIS SANABIL,Fès,34.0307431,-5.0229027
4797223421,Pharmacie Nouzha صيدلية النزهة,pharmacy,Route Ain Chkef,Fés,34.0117154,-5.0108792
4801102022,Pharmacie El Fath صيدلية الفتح,pharmacy,Avenue Mohamed Es Slaoui,Fès,34.0374402,-5.0003795
4801209322,Pharmacie la Croix Verte صيدلية لاكروا فيرت,pharmacy,Boulevard Mohammed V شارع محمد الخامس,BV MOHAMED 5,34.0385288,-4.9981613
4802070122,Pharmacie Marjane صيدلية مرجان,pharmacy,SUPER MARCHE MARJANE,Fès,34.0492382,-5.0355052
4803244621,Pharmacie Al Ichrak صيدلية الإشراق,pharmacy,367 AHMED BALAFEJ ADARISSA,Fès,34.0167606,-5.0109578
4803711989,Pharmacie Al Mernissi صيدلية المرنيسي,pharmacy,Champs de Cours Dokkarat,Fès,34.0392401,-5.0129692
4805354921,Pharmacie Masjid Ataqwa صيدلية مسجد التقوى,pharmacy,RUE AL AMIR RTE AYN CHKEF,Fès,34.0194622,-5.0056751
4805418523,Pharmacie Sounni صيدلية السني,pharmacy,ERAC HAY AL ADARISSA,Fès,34.0182594,-5.0079836
4805680322,Pharmacie Bennani صيدلية بناني,pharmacy,HAY TARIK I,Fès,34.032488,-5.02417
